,street,city,state,zip,livingArea,latitude,longitude,status,detailUrl,county,buildingStyle,description,yearBuilt,lotSizeSquareFeet,rental,totalBuildingAreaSquareFeet
84,8684 Lakeview Cmns LOT 43,Jonesboro,GA,30238,1574,33.518616,-84.425026,FOR_SALE,https://www.zillow.com/homedetails/8684-Lakeview-Cmns-LOT-43-Jonesboro-GA-30238/443738612_zpid/,Clayton County,TOWNHOUSE,"Welcome to your new urban sanctuary! These modern 3-bedroom, 2.5-bath townhomes are designed for contemporary living, featuring sleek, total electric setups and a stylish galley kitchen with stainless steel appliances, an island sink, and bar stool overhang. The open-concept living and dining area is bathed in natural light, creating a bright and airy atmosphere. Enjoy the convenience of a 1-car garage, built-in security system, and efficient water sprinkler system. With a low HOA fee of $550 annually, including lawn care, and unbeatable buyer incentives-up to $15,000 IN DOWN PAYMENT ASSISTANCE, up to $15,000 in CLOSING COST CONTRIBUTIONS PAID, a minimal $500 EARNEST MONEY DEPOSIT, and a swift 30-DAY MOVE-IN! These homes offer an exceptional blend of luxury and practicality. Embrace effortless living and move into your dream home today! This small intimate Community is only minutes from the Fayetteville Shopping Pavilion, only 30 mins from Downtown Atlanta, and 15 mins from Hartsfield Jackson Airport! COME TAKE A TOUR TODAY! Monday-Saturday from 11am-6pm and Sunday from 1pm-6pm.",2024,,False,"1,574"
85,8696 Lakeview Cmns LOT 45,Jonesboro,GA,30238,1574,33.518448,-84.425026,FOR_SALE,https://www.zillow.com/homedetails/8696-Lakeview-Cmns-LOT-45-Jonesboro-GA-30238/442614740_zpid/,Clayton County,TOWNHOUSE,"Welcome to your new urban sanctuary! These modern 3-bedroom, 2.5-bath townhomes are designed for contemporary living, featuring sleek, total electric setups and a stylish galley kitchen with stainless steel appliances, an island sink, and bar stool overhang. The open-concept living and dining area is bathed in natural light, creating a bright and airy atmosphere. Enjoy the convenience of a 1-car garage, built-in security system, and efficient water sprinkler system. With a low HOA fee of $550 annually, including lawn care, and unbeatable buyer incentives-up to $15,000 IN DOWN PAYMENT ASSISTANCE, up to $15,000 in CLOSING COST CONTRIBUTIONS PAID, a minimal $500 EARNEST MONEY DEPOSIT, and a swift 30-DAY MOVE-IN! These homes offer an exceptional blend of luxury and practicality. Embrace effortless living and move into your dream home today! This small intimate Community is only minutes from the Fayetteville Shopping Pavilion, only 30 mins from Downtown Atlanta, and 15 mins from Hartsfield Jackson Airport! COME TAKE A TOUR TODAY! Monday-Saturday from 11am-6pm and Sunday from 1pm-6pm.",2024,,False,"1,574"
86,12033 Conrad Cir #145,Hampton,GA,30228,0,33.42914,-84.317566,FOR_SALE,https://www.zillow.com/homedetails/12033-Conrad-Cir-145-Hampton-GA-30228/443736802_zpid/,Clayton County,SINGLE_FAMILY,"Gated! Gated Community. Luxury living and tranquility. EASY access to I-75, Atlanta airport nearby Shopping and fine dining, Award-winning Schools! The Hill Crest is a 4 Bedroom 2 full bath and 1 half bath, hardwood (LVT) on main, 2 Car garage. Huge family room opens to a chef kitchen large enough to host extended parties and lots of recess lighting and ceiling fan Granite countertop in the kitchen. Stainless steel appliances Whirlpool brand. Hardwood flooring on all the main. Nice patio perfect for outside relaxing during the upcoming summer. Primary bedrooms offer a very nice size bedroom with ceiling fan. You will never be too far from home with Home Is Connected, your new home is built with an industry leading suite of smart home products that keep you connected with the people and place you value most. Photos used for illustrative purposes and do not depict actual home. Call Allyn Solomon (678)358-5945 for an appointment. Special financing available with preferred lender. Ask me about our incentives.",2023,"8,712 sqft",False,0
87,4150 Northwind Dr,Ellenwood,GA,30294,2014,33.637894,-84.27457,FOR_SALE,https://www.zillow.com/homedetails/4150-Northwind-Dr-Ellenwood-GA-30294/250292325_zpid/,Clayton County,SINGLE_FAMILY,"Come check out this BEAUTIFUL NEW 2-Story Home in the Northridge Station Community! The desirable Ellington Plan boasts an open design throughout the Living, Dining, and Kitchen. The Kitchen features gorgeous cabinets, granite countertops, and Stainless-Steel Steel Appliances (Including Range with a Microwave hood and Dishwasher). On the 1st floor, there is a flex room and a half bathroom. All other bedrooms, including the primary suite, are on the 2nd floor. The primary suite has a private bath, dual vanity sinks, and a walk-in closet. The other two bedrooms contain a walk-in closet and share a secondary full-sized bath. This desirable plan also includes additional loft space and a Walk-in Laundry room.",2024,0.53 Acres,False,"2,014"
88,208 Starr Cir LOT 24,Jonesboro,GA,30236,1500,33.52744,-84.34677,FOR_SALE,https://www.zillow.com/homedetails/208-Starr-Cir-LOT-24-Jonesboro-GA-30236/440536273_zpid/,Clayton County,TOWNHOUSE,"Uncover the exquisite charm of Spivey Manor, where you'll find generously proportioned living areas, a state-of-the-art gourmet kitchen equipped with high-end appliances, and opulent, meticulously crafted details throughout. Nestled in the heart of Stockbridge, GA, this modern farmhouse townhome offers a serene yet sophisticated sanctuary just a stone's throw away from the picturesque Lake Spivey. Immerse yourself in the lap of luxury within a bustling mixed-use community that boasts an array of premium amenities, catering to your every need and desire.",2024,"1,742 sqft",False,"1,500"
89,200 Starr Cir LOT 22,Jonesboro,GA,30236,1500,33.52744,-84.34677,FOR_SALE,https://www.zillow.com/homedetails/200-Starr-Cir-LOT-22-Jonesboro-GA-30236/440503405_zpid/,Clayton County,TOWNHOUSE,"Uncover the exquisite charm of Spivey Manor, where you'll find generously proportioned living areas, a state-of-the-art gourmet kitchen equipped with high-end appliances, and opulent, meticulously crafted details throughout. Nestled in the heart of Stockbridge, GA, this modern farmhouse townhome offers a serene yet sophisticated sanctuary just a stone's throw away from the picturesque Lake Spivey. Immerse yourself in the lap of luxury within a bustling mixed-use community that boasts an array of premium amenities, catering to your every need and desire.",2024,"1,742 sqft",False,"1,500"
90,204 Starr Cir LOT 23,Jonesboro,GA,30236,1500,33.527752,-84.346344,FOR_SALE,https://www.zillow.com/homedetails/204-Starr-Cir-LOT-23-Jonesboro-GA-30236/440503559_zpid/,Clayton County,TOWNHOUSE,"Uncover the exquisite charm of Spivey Manor, where you'll find generously proportioned living areas, a state-of-the-art gourmet kitchen equipped with high-end appliances, and opulent, meticulously crafted details throughout. Nestled in the heart of Stockbridge, GA, this modern farmhouse townhome offers a serene yet sophisticated sanctuary just a stone's throw away from the picturesque Lake Spivey. Immerse yourself in the lap of luxury within a bustling mixed-use community that boasts an array of premium amenities, catering to your every need and desire.",2024,"1,742 sqft",False,"1,500"
91,8720 Lakeview Cmns LOT 49,Jonesboro,GA,30238,0,33.51821,-84.42502,FOR_SALE,https://www.zillow.com/homedetails/8720-Lakeview-Cmns-LOT-49-Jonesboro-GA-30238/440987710_zpid/,Clayton County,TOWNHOUSE,"Welcome to your new urban sanctuary! These modern 3-bedroom, 2.5-bath townhomes are designed for contemporary living, featuring sleek, total electric setups and a stylish galley kitchen with stainless steel appliances, an island sink, and bar stool overhang. The open-concept living and dining area is bathed in natural light, creating a bright and airy atmosphere. Enjoy the convenience of a 1-car garage, built-in security system, and efficient water sprinkler system. With a low HOA fee of $550 annually, including lawn care, and unbeatable buyer incentives-up to $12,500 IN DOWN PAYMENT ASSISTANCE, up to $15,000 in CLOSING COST CONTRIBUTIONS, a minimal $500 EARNEST MONEY DEPOSIT, and a swift 30-DAY MOVE-IN! These homes offer an exceptional blend of luxury and practicality. Embrace effortless living and move into your dream home today! This small intimate Community is only minutes from the Fayetteville Shopping Pavilion, only 30 mins from Downtown Atlanta, and 15 mins from Hartsfield Jackson Airport! COME TAKE A TOUR TODAY! Monday-Saturday from 11am-6pm and Sunday from 1pm-6pm.",2024,"1,742 sqft",False,0
92,5651 Laney Dr,Rex,GA,30273,0,33.592148,-84.29109,FOR_SALE,https://www.zillow.com/homedetails/5651-Laney-Dr-Rex-GA-30273/439445602_zpid/,Clayton County,SINGLE_FAMILY,"Capshaw homes presents the magnificent Magnolia design located in the prestigious Laney Place community. Prepare to be amazed by this breathtaking home offered at an unbelievable price. Boasting 4 bedrooms, 2.5 baths, a formal dining room, and an open floor concept, it offers the perfect blend of functionality and elegance. The gourmet kitchen is a chef's dream, featuring stainless steel appliances, a tile backsplash, and luxurious granite countertops overlooking the spacious great room, island, and oversized pantry for ample storage. Marvel at the eye-catching brick fireplace with a decorative hearth and enjoy the luxury vinyl plank flooring throughout the main level, baths, and laundry areas. Discover what sets Capshaw Homes apart from other builders by visiting https://capshawhomes.com/why-capshaw/. Rest assured, all Capshaw Homes come with the assurance of a 2-10 Home Buyer's Warranty. Additionally, we are proud recipients of the 2020 Platinum Builder Award, a testament to our commitment to excellence in homebuilding. Learn more about this prestigious award at https://www.2-10.com/builders-warranty/builder-awards/#. Home depicts actual photos. Ready for quick close!!!!  Come and experience the Capshaw Homes difference firsthand. Contact us today to schedule a viewing!",2024,0.25 Acres,False,0
93,5659 Laney Dr,Rex,GA,30273,0,33.592632,-84.29086,FOR_SALE,https://www.zillow.com/homedetails/5659-Laney-Dr-Rex-GA-30273/439445729_zpid/,Clayton County,SINGLE_FAMILY,"Capshaw homes presents the magnificent Magnolia design located in the prestigious Laney Place community. Prepare to be amazed by this breathtaking home offered at an unbelievable price. Boasting 4 bedrooms, 2.5 baths, a formal dining room, and an open floor concept, it offers the perfect blend of functionality and elegance. The gourmet kitchen is a chef's dream, featuring stainless steel appliances, a tile backsplash, and luxurious granite countertops overlooking the spacious great room, island, and oversized pantry for ample storage. Marvel at the eye-catching brick fireplace with a decorative hearth and enjoy the luxury vinyl plank flooring throughout the main level, baths, and laundry areas. Discover what sets Capshaw Homes apart from other builders by visiting https://capshawhomes.com/why-capshaw/. Rest assured, all Capshaw Homes come with the assurance of a 2-10 Home Buyer's Warranty. Additionally, we are proud recipients of the 2020 Platinum Builder Award, a testament to our commitment to excellence in homebuilding. Learn more about this prestigious award at https://www.2-10.com/builders-warranty/builder-awards/#. Home depicts actual photos. Ready for quick close!!!!  Come and experience the Capshaw Homes difference firsthand. Contact us today to schedule a viewing!",2024,0.30 Acres,False,0
